customer_ref,account_num,subs_id,msisdn,ocs_subscription_id,productoffering_id,productoffering_name,is_top_offer,productoffering_type_id,productoffering_type_value,event_type_id,event_type_name,event_dtm,calling_number,originating_number,called_number,upload_volume,download_volume,total_volume,rating_group,duration,number_of_messages,direction,operator_code,consumption_bucket_amount,consumption_type,actual_available_bucket,served_imsi,terminating_zone,terminating_country,originating_zone,originating_country,roaming_zone,roaming_country,session_id,location_cell_id,ocs_charged_amount,charged_amount_post_tax,tax_amount,hour_number,history_date
1000163950,2000263944,9158818010000000011,754200011,436607000011,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200910000100,754200011.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000163962,2000263956,9158818010000000023,754200023,436607000023,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200023.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000163963,2000263957,9158818010000000024,754200024,436607000024,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200024.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000163964,2000263958,9158818010000000025,754200025,436607000025,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200025.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,9,2020-09-16-00-00-00
1000163965,2000263959,9158818010000000026,754200026,436607000026,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200026.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,10,2020-09-16-00-00-00
1000163966,2000263960,9158818010000000027,754200027,436607000027,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200027.0,,9234775633.0,,,,,1,2.0,IN,ARTL,20,1,21,BSNL,,,,,,,SNSMS65842,,2,3,1,5,2020-09-16-00-00-00
1000163967,2000263961,9158818010000000028,754200028,436607000028,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200028.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000163968,2000263962,9158818010000000029,754200029,436607000029,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200029.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000163969,2000263963,9158818010000000030,754200030,436607000030,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200030.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,9,2020-09-16-00-00-00
1000163970,2000263964,9158818010000000031,754200031,436607000031,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200031.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,10,2020-09-16-00-00-00
1000163971,2000263965,9158818010000000032,754200032,436607000032,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200032.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000163972,2000263966,9158818010000000033,754200033,436607000033,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200033.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000163973,2000263967,9158818010000000034,754200034,436607000034,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200034.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,9,2020-09-16-00-00-00
1000163974,2000263968,9158818010000000035,754200035,436607000035,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200035.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,10,2020-09-16-00-00-00
1000163975,2000263969,9158818010000000036,754200036,436607000036,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200036.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000163976,2000263970,9158818010000000037,754200037,436607000037,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200037.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000163977,2000263971,9158818010000000038,754200038,436607000038,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200038.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,9,2020-09-16-00-00-00
1000163978,2000263972,9158818010000000039,754200039,436607000039,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200039.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,10,2020-09-16-00-00-00
1000163979,2000263973,9158818010000000040,754200040,436607000040,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200040.0,,9234775633.0,,,,,1,2.0,IN,ARTL,20,1,21,BSNL,,,,,,,SNSMS65842,,2,3,1,5,2020-09-16-00-00-00
1000163980,2000263974,9158818010000000041,754200041,436607000041,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200041.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000163981,2000263975,9158818010000000042,754200042,436607000042,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200042.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000163982,2000263976,9158818010000000043,754200043,436607000043,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200043.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,9,2020-09-16-00-00-00
1000163983,2000263977,9158818010000000044,754200044,436607000044,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200044.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,10,2020-09-16-00-00-00
1000163984,2000263978,9158818010000000045,754200045,436607000045,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200045.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000163985,2000263979,9158818010000000046,754200046,436607000046,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200046.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000163986,2000263980,9158818010000000047,754200047,436607000047,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200047.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,9,2020-09-16-00-00-00
1000163987,2000263981,9158818010000000048,754200048,436607000048,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200048.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,10,2020-09-16-00-00-00
1000163988,2000263982,9158818010000000049,754200049,436607000049,6400000002,Mobile Prepaid 1.5 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200049.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000163989,2000263983,9158818010000000050,754200050,436607000050,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200050.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000163990,2000263984,9158818010000000051,754200051,436607000051,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200051.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,9,2020-09-16-00-00-00
1000163991,2000263985,9158818010000000052,754200052,436607000052,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200052.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,10,2020-09-16-00-00-00
1000163992,2000263986,9158818010000000053,754200053,436607000053,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200053.0,,9234775633.0,,,,,1,2.0,IN,ARTL,20,1,21,BSNL,,,,,,,SNSMS65842,,2,3,1,5,2020-09-16-00-00-00
1000163993,2000263987,9158818010000000054,754200054,436607000054,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200054.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000163994,2000263988,9158818010000000055,754200055,436607000055,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200055.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000163995,2000263989,9158818010000000056,754200056,436607000056,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200056.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,9,2020-09-16-00-00-00
1000163996,2000263990,9158818010000000057,754200057,436607000057,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200057.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,10,2020-09-16-00-00-00
1000163997,2000263991,9158818010000000058,754200058,436607000058,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200058.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000163998,2000263992,9158818010000000059,754200059,436607000059,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200059.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000163999,2000263993,9158818010000000060,754200060,436607000060,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200060.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,9,2020-09-16-00-00-00
1000164000,2000263994,9158818010000000061,754200061,436607000061,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200061.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,10,2020-09-16-00-00-00
1000164001,2000263995,9158818010000000062,754200062,436607000062,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200062.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000164002,2000263996,9158818010000000063,754200063,436607000063,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200063.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000164003,2000263997,9158818010000000064,754200064,436607000064,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200064.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,9,2020-09-16-00-00-00
1000164004,2000263998,9158818010000000065,754200065,436607000065,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200065.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,10,2020-09-16-00-00-00
1000164005,2000263999,9158818010000000066,754200066,436607000066,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200066.0,,9234775633.0,,,,,1,2.0,IN,ARTL,20,1,21,BSNL,,,,,,,SNSMS65842,,2,3,1,5,2020-09-16-00-00-00
1000164006,2000264000,9158818010000000067,754200067,436607000067,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200067.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000164007,2000264001,9158818010000000068,754200068,436607000068,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200068.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000164008,2000264002,9158818010000000069,754200069,436607000069,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200069.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,9,2020-09-16-00-00-00
1000164009,2000264003,9158818010000000070,754200070,436607000070,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200070.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,10,2020-09-16-00-00-00
1000164010,2000264004,9158818010000000071,754200071,436607000071,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200071.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000164011,2000264005,9158818010000000072,754200072,436607000072,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200072.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000164012,2000264006,9158818010000000073,754200073,436607000073,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200073.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,9,2020-09-16-00-00-00
1000164013,2000264007,9158818010000000074,754200074,436607000074,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200074.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,10,2020-09-16-00-00-00
1000164014,2000264008,9158818010000000075,754200075,436607000075,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200075.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000164015,2000264009,9158818010000000076,754200076,436607000076,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200076.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000164016,2000264010,9158818010000000077,754200077,436607000077,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200077.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,9,2020-09-16-00-00-00
1000164017,2000264011,9158818010000000078,754200078,436607000078,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200078.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,10,2020-09-16-00-00-00
1000164018,2000264012,9158818010000000079,754200079,436607000079,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200079.0,,9234775633.0,,,,,1,2.0,IN,ARTL,20,1,21,BSNL,,,,,,,SNSMS65842,,2,3,1,5,2020-09-16-00-00-00
1000164019,2000264013,9158818010000000080,754200080,436607000080,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200080.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000164020,2000264014,9158818010000000081,754200081,436607000081,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200081.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
1000164021,2000264015,9158818010000000082,754200082,436607000082,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200082.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,9,2020-09-16-00-00-00
1000164022,2000264016,9158818010000000083,754200083,436607000083,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200903000100,754200083.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,10,2020-09-16-00-00-00
1000164023,2000264017,9158818010000000084,754200084,436607000084,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200084.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000164024,2000264018,9158818010000000085,754200085,436607000085,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200085.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,8,2020-09-16-00-00-00
1000164025,2000264019,9158818010000000086,754200086,436607000086,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200086.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,9,2020-09-16-00-00-00
1000164026,2000264020,9158818010000000087,754200087,436607000087,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,7,Mobile Data,20200903000100,,754200087.0,,2000.0,5000.0,10000.0,Free Internet Plan,51,,,,478,1,478,OFT,,,,,,,S00201,560101.0,0,499,81,10,2020-09-16-00-00-00
1000164027,2000264021,9158818010000000088,754200088,436607000088,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200903000100,754200088.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000164028,2000264022,9158818010000000089,754200089,436607000089,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200904000100,754200089.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,8,2020-09-16-00-00-00
1000164029,2000264023,9158818010000000090,754200090,436607000090,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200904000100,754200090.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,9,2020-09-16-00-00-00
1000164030,2000264024,9158818010000000091,754200091,436607000091,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,1,Mobile Voice Originating,20200904000100,754200091.0,,9898115870.0,,,,,90,,I,VFO,1000,0,501,OFT,,,,,,,SNC1020115,,199,256,75,10,2020-09-16-00-00-00
1000164031,2000264025,9158818010000000092,754200092,436607000092,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200904000100,754200092.0,,9234775633.0,,,,,1,2.0,IN,ARTL,20,1,21,BSNL,,,,,,,SNSMS65842,,2,3,1,5,2020-09-16-00-00-00
1000164032,2000264026,9158818010000000093,754200093,436607000093,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,4,Mobile SMS Roaming Originating,20200904000100,754200093.0,,9234775633.0,,,,,1,2.0,I,ARTL,20,1,21,BARTL,,,,,,,SNSMS65842,,2,3,1,8,2020-09-16-00-00-00
