users_value,users_id,created_by_value,created_when,domain_login,domain_name,email,first_name,full_name,last_name,middle_name,modified_by_value,modified_when,user_status_id,user_status_value,user_state_id,user_state_valid,utilization_id,externally_authenticated_id,externally_authenticated_value,utilization_value,extraction_timestamp,date,history_date
VFAdmin_user1,9158370512713962518,sysadm,2020-09-22 16:05:04.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:06:04.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_N3,9158370621413962617,sysadm,2020-09-22 16:13:05.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:14:21.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_M7,9158370641213963032,sysadm,2020-09-22 16:17:12.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:18:24.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_M19,9158370644213963032,sysadm,2020-09-22 16:18:02.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:19:28.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_N4,9158370647013963032,sysadm,2020-09-22 16:13:53.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:15:45.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_M5,9158370648113963032,sysadm,2020-09-22 16:16:07.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:17:00.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
ac_user02,9130663430013016325,Administrator,2011-12-12 19:50:24.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Administrator,2011-12-20 14:12:40.0,67256901,Normal,NULL,NULL,6082959404013265105,NULL,NULL,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
tbapi,9151404283113457404,sysadm,2018-07-09 09:19:19.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2018-07-09 09:20:59.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
self-care,9156425721813958960,sysadm,2020-02-10 14:01:40.0,self-care,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-02-10 14:02:32.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Agent_user1,9158369945513959547,sysadm,2020-09-22 14:22:42.0,NULL,NULL,amg_admin@m.com,AMG,NULL,admin,NULL,sysadm,2020-09-22 15:03:26.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Agent_user3,9158370057413960709,sysadm,2020-09-22 14:35:54.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:07:47.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Agent_AT_N13,9158370212313961164,sysadm,2020-09-22 15:10:54.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:11:44.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
Supervisor_AT_M9,9158370349013962243,sysadm,2020-09-22 15:28:08.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 15:29:12.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
VFAdmin_AT_OTH3,9158370694213963568,sysadm,2020-09-22 16:23:03.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-09-22 16:26:50.0,67256901,Normal,NULL,NULL,6082959404013265105,9138481824113988268,false,Delete,2020-11-13 09:20:46.0,2020-11-13,2020-11-13-09-20-46
